Track Name,Artist Name,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Feather,Sabrina Carpenter,2Zo1PcszsT9WQ0ANntJbID,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51,audio_features,2Zo1PcszsT9WQ0ANntJbID,spotify:track:2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,185553,4
You Proof,Morgan Wallen,5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,audio_features,5W4kiM2cUYBJXKRudNyxjW,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/tracks/5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/audio-analysis/5W4kiM2cUYBJXKRudNyxjW,157478,4
Where the Wild Things Are,Luke Combs,0eBFgRxyVSeuT4iyrbukdn,0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,audio_features,0eBFgRxyVSeuT4iyrbukdn,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533,4
La Diabla,Xavi,0R6NfOiLzLj4O5VbYSJAjf,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264,3
Corazón de Piedra,Xavi,0dEAiKNbHt4mrjjoiL0loc,0.834,0.763,2,-5.475,1,0.0835,0.0354,2.33e-06,0.273,0.633,134.844,audio_features,0dEAiKNbHt4mrjjoiL0loc,spotify:track:0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc,https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc,193568,3
Magnetic,ILLIT,1aKvZDoLGkNMxoRYgkckZG,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067,audio_features,1aKvZDoLGkNMxoRYgkckZG,spotify:track:1aKvZDoLGkNMxoRYgkckZG,https://api.spotify.com/v1/tracks/1aKvZDoLGkNMxoRYgkckZG,https://api.spotify.com/v1/audio-analysis/1aKvZDoLGkNMxoRYgkckZG,160688,4
Evergreen,Richy Mitch & The Coal Miners,6me7F0aaZjwDo6RJ5MrfBD,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,audio_features,6me7F0aaZjwDo6RJ5MrfBD,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,https://api.spotify.com/v1/tracks/6me7F0aaZjwDo6RJ5MrfBD,https://api.spotify.com/v1/audio-analysis/6me7F0aaZjwDo6RJ5MrfBD,87000,3
Tell Ur Girlfriend,Lay Bankz,3lMzT16MjAKKXF7pSZn13B,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,audio_features,3lMzT16MjAKKXF7pSZn13B,spotify:track:3lMzT16MjAKKXF7pSZn13B,https://api.spotify.com/v1/tracks/3lMzT16MjAKKXF7pSZn13B,https://api.spotify.com/v1/audio-analysis/3lMzT16MjAKKXF7pSZn13B,124444,4
No Role Modelz,J. Cole,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4
Bandit,Don Toliver,7sTyAjxDXq9afwfSQy6D0s,0.671,0.615,1,-9.593,1,0.0955,0.00113,1.3e-06,0.211,0.109,130.031,audio_features,7sTyAjxDXq9afwfSQy6D0s,spotify:track:7sTyAjxDXq9afwfSQy6D0s,https://api.spotify.com/v1/tracks/7sTyAjxDXq9afwfSQy6D0s,https://api.spotify.com/v1/audio-analysis/7sTyAjxDXq9afwfSQy6D0s,147744,4
500lbs,Lil Tecca,6rjuKpPydT2SxN15TZpV7r,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,audio_features,6rjuKpPydT2SxN15TZpV7r,spotify:track:6rjuKpPydT2SxN15TZpV7r,https://api.spotify.com/v1/tracks/6rjuKpPydT2SxN15TZpV7r,https://api.spotify.com/v1/audio-analysis/6rjuKpPydT2SxN15TZpV7r,144390,4
if u think i'm pretty,Artemas,1ACA277B6f46DYCgZW8di3,0.535,0.622,8,-5.771,1,0.0593,0.541,0.0209,0.402,0.457,143.533,audio_features,1ACA277B6f46DYCgZW8di3,spotify:track:1ACA277B6f46DYCgZW8di3,https://api.spotify.com/v1/tracks/1ACA277B6f46DYCgZW8di3,https://api.spotify.com/v1/audio-analysis/1ACA277B6f46DYCgZW8di3,128206,4
